seed,lambda,cap,ok,moves,trigger_overlap,time_s
2050,0.5,none,True,24,0.25,1.24
2051,0.5,1,True,27,0.1111,0.504
2051,0.5,2,True,27,0.1111,0.519
2051,0.5,4,True,27,0.1111,0.379
2051,0.5,none,True,27,0.1111,0.368
2052,0.5,1,True,23,0.0,1.131
2052,0.5,2,True,23,0.0,1.205
2052,0.5,4,True,24,0.2917,1.164
2052,0.5,none,True,24,0.2917,1.072
2053,0.5,1,False,,,27.512
2053,0.5,2,False,,,27.277
2053,0.5,4,False,,,26.38
2053,0.5,none,False,,,26.252
2054,0.5,1,False,,,27.783
2054,0.5,2,False,,,27.685
2054,0.5,4,True,30,0.3333,2.722
2054,0.5,none,True,30,0.3333,2.666
2055,0.5,1,True,26,0.1154,0.464
2055,0.5,2,True,26,0.1154,0.473
2055,0.5,4,True,26,0.1154,0.505
2055,0.5,none,True,26,0.1154,0.487
2056,0.5,1,True,23,0.1304,6.323
2056,0.5,2,True,23,0.1304,5.417
2056,0.5,4,True,26,0.3077,5.661
2056,0.5,none,True,26,0.3077,5.521
2057,0.5,1,True,25,0.16,2.11
2057,0.5,2,True,24,0.125,1.627
2057,0.5,4,True,24,0.125,0.3
2057,0.5,none,True,24,0.125,0.284
2058,0.5,1,False,,,29.352
2058,0.5,2,False,,,28.487
2058,0.5,4,True,31,0.4516,14.143
2058,0.5,none,True,31,0.4516,14.088
2059,0.5,1,True,26,0.1154,0.822
2059,0.5,2,True,26,0.1154,0.878
2059,0.5,4,True,26,0.1154,0.927
2059,0.5,none,True,26,0.1154,0.918
2000,1.0,1,True,30,0.0,3.026
2000,1.0,2,True,31,0.2258,2.527
2000,1.0,4,True,31,0.2258,3.977
2000,1.0,none,True,31,0.2258,3.859
2001,1.0,1,True,23,0.2609,0.24
2001,1.0,2,True,29,0.4483,0.471
2001,1.0,4,True,29,0.4483,0.64
2001,1.0,none,True,29,0.4483,0.635
2002,1.0,1,True,27,0.0,3.038
2002,1.0,2,True,30,0.2333,1.539
2002,1.0,4,True,30,0.2333,2.216
2002,1.0,none,True,30,0.2333,2.162
2003,1.0,1,True,27,0.2222,1.837
2003,1.0,2,True,27,0.2222,2.004
2003,1.0,4,True,28,0.5714,0.361
2003,1.0,none,True,28,0.5714,0.353
2004,1.0,1,True,26,0.1154,0.419
2004,1.0,2,True,26,0.1154,0.474
2004,1.0,4,True,26,0.5385,0.095
2004,1.0,none,True,26,0.5385,0.1
2005,1.0,1,True,26,0.0,0.887
2005,1.0,2,True,26,0.0,1.139
2005,1.0,4,True,28,0.1071,0.547
2005,1.0,none,True,28,0.1071,0.533
2006,1.0,1,True,26,0.2692,0.621
2006,1.0,2,True,26,0.2692,0.718
2006,1.0,4,True,26,0.2692,1.04
2006,1.0,none,True,26,0.2692,1.062
2007,1.0,1,True,19,0.4211,1.974
